codigo;Data;Visita OTIF;OT;IF;OTIF
0296708;01/03/2024;0001-0006777-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0006854-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0006869-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0006871-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0006888-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0006923-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0006967-01/03/2024-531066;Sim;Sim;Sim
0296708;01/03/2024;0001-0007112-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0007113-01/03/2024-531030;Sim;Sim;Sim
0296708;01/03/2024;0001-0007126-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0007143-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0007163-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0007186-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0007332-01/03/2024-531036;Sim;Sim;Sim
0296708;01/03/2024;0001-0007367-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0007429-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0007470-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0007471-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0007473-01/03/2024-531019;Sim;Sim;Sim
0296708;01/03/2024;0001-0007615-01/03/2024-531033;Sim;Não;Não
0296708;01/03/2024;0001-0007640-01/03/2024-531061;Sim;Sim;Sim
0296708;01/03/2024;0001-0007653-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0007742-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0007918-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0008041-01/03/2024-531060;Sim;Não;Não
0296708;01/03/2024;0001-0008122-01/03/2024-531037;Sim;Sim;Sim
0296708;01/03/2024;0001-0008124-01/03/2024-531056;Sim;Sim;Sim
0296708;01/03/2024;0001-0008255-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0008465-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0008475-01/03/2024-531066;Sim;Sim;Sim
0296708;01/03/2024;0001-0008532-01/03/2024-531059;Sim;Sim;Sim
0296708;01/03/2024;0001-0008563-01/03/2024-531012;Sim;Sim;Sim
0296708;01/03/2024;0001-0008566-01/03/2024-531059;Sim;Sim;Sim
0296708;01/03/2024;0001-0008638-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0008649-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0008654-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0008676-01/03/2024-531062;Sim;Não;Não
0296708;01/03/2024;0001-0008680-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0008766-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0008788-01/03/2024-531047;Sim;Sim;Sim
0296708;01/03/2024;0001-0008943-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0008958-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0008988-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0009009-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0009031-01/03/2024-530992;Não;Não;Não
0296708;01/03/2024;0001-0009069-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0009089-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0009096-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0009141-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0009164-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0009166-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0009230-01/03/2024-531054;Sim;Sim;Sim
0296708;01/03/2024;0001-0009373-01/03/2024-531066;Sim;Sim;Sim
0296708;01/03/2024;0001-0009476-01/03/2024-531027;Sim;Sim;Sim
0296708;01/03/2024;0001-0009630-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0009701-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0009726-01/03/2024-531042;Sim;Não;Não
0296708;01/03/2024;0001-0009744-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0009747-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0009853-01/03/2024-531036;Sim;Sim;Sim
0296708;01/03/2024;0001-0009866-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0009936-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0009964-01/03/2024-531034;Sim;Não;Não
0296708;01/03/2024;0001-0009987-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0010026-01/03/2024-531055;Sim;Não;Não
0296708;01/03/2024;0001-0010035-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0010064-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0010083-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0010084-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0010085-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0010095-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0010148-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0010191-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0010193-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0010202-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0010223-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0010361-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0010375-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0010379-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0010382-01/03/2024-531050;Sim;Sim;Sim
0296708;01/03/2024;0001-0010404-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0010493-01/03/2024-531047;Sim;Sim;Sim
0296708;01/03/2024;0001-0010621-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0010628-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0010640-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0010643-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0010644-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0010733-01/03/2024-531019;Sim;Sim;Sim
